Customer id,cluster,PC1,PC2,dist_to_best,dist_to_second,delta
C00227,0,-0.36494274475060967,-0.5922921104153226,1.1270781050402097,1.1274770961558085,0.0003989911155988235
C00855,1,-0.12199528336066073,1.4316952035225239,1.6884246052870424,1.6890779161039327,0.0006533108168902402
C00288,0,-0.36928183724015556,-0.6395939528712702,1.1536806234408383,1.1554099059841494,0.0017292825433110615
C00352,1,-0.2915357454543998,0.03890883044112216,0.9315116911680542,0.9361584996893151,0.00464680852126087
C00091,0,-0.3243760620447376,-0.27734626904617293,0.9826819888022639,0.9876706026316214,0.004988613829357558
C00533,0,-0.4178014414367079,-1.0769947871520893,1.4543579775713167,1.4605659343969601,0.006207956825643457
C01131,1,-0.45505935214932264,-1.2437425120099894,1.5844929903540876,1.5989772739153623,0.014484283561274625
C00443,0,-0.11486821120027041,1.3793942544555975,1.638597816384929,1.6543416576232857,0.015743841238356593
C00844,1,-0.30789549366169056,-0.032037420969264485,0.926213315675559,0.9464408124499596,0.02022749677440061
C00806,1,-0.34936058974948,-0.36442242168804717,1.006355628900624,1.0280830445872746,0.02172741568665071
C00006,0,-0.24589994367453288,0.29470744528389126,0.9581400551013274,0.9824073550191076,0.024267299917780205
C00732,1,-0.4386247044541967,-1.0435749332162438,1.4211991495990555,1.446986136776355,0.025786987177299547
C00867,1,-0.42157096871767347,-0.9105007855765742,1.322068006117108,1.3481894347831274,0.02612142866601941
C00278,0,-0.3430354796936537,-0.5575901410098869,1.0923149649718846,1.121654048528954,0.029339083557069268
C00054,0,-0.328132065407902,-0.4255592564856924,1.0268778823958356,1.056471732893601,0.029593850497765528
C00358,0,-0.17034614048208246,0.8595108580090993,1.23624432727289,1.2668987980118231,0.030654470738933126
C00406,1,-0.3811399548693198,-0.5731510261149824,1.1023100940389423,1.1333809632063276,0.03107086916738533
C01049,0,-0.34555265668333557,-0.6208916496661491,1.12385041415228,1.1604929007857157,0.03664248663343561
C00786,0,-0.33562733535400535,-0.536519114611041,1.07649362012986,1.1144154817394134,0.03792186160955335
C01145,0,-0.3022469987277728,-0.2425987705577659,0.954366330093723,0.9936308218754984,0.03926449178177549
C01115,0,-0.36305678550557724,-0.8102596713306371,1.2409245146453014,1.2816752305362429,0.04075071589094148
C00409,0,-0.2601502248461557,0.10699835894455804,0.9161769438185494,0.957547832091859,0.04137088827330959
