Customer id,Recency,Frequency,Monetary,CategoryVariety,AvgInvoice,PreferredMall,Cluster,RecencyScore,MonetaryLog,AvgInterpurchaseDays,MallDiversity,PaymentDiversity,CategoryConcentration,AvgInvoiceLog,ClusterEnhanced
C00001,58,3,36293.51,3,5184.787142857143,TKO,1,0.01694915254237288,10.499421769145648,281.0,2,1,0.42857142857142855,8.553676920685712,1
C00002,9,4,23993.87,4,2999.23375,TKO,1,0.1,10.085595336482296,187.0,3,1,0.625,8.006445481281567,0
C00003,163,2,39053.9,4,5579.128571428571,MK,1,0.006097560975609756,10.572723627549506,215.0,2,1,0.42857142857142855,8.62696709658456,0
C00004,164,6,56074.91,5,3738.3273333333336,CYB,0,0.006060606060606061,10.934461587522447,109.8,4,1,0.4,8.226661016834791,0
C00005,216,5,34654.26,5,1925.2366666666667,TKO,0,0.004608294930875576,10.45320479684883,126.0,2,1,0.3333333333333333,7.563323464698191,0
C00006,244,3,40154.15,5,4461.572222222222,MK,0,0.004081632653061225,10.600505980140428,126.5,3,1,0.3333333333333333,8.40348061020841,0
C00007,52,4,52322.340000000004,4,4360.195000000001,TKO,0,0.018867924528301886,10.865197822014016,166.66666666666666,2,1,0.3333333333333333,8.380501381358123,0
C00008,156,6,54821.49,5,3045.6383333333333,TKO,0,0.006369426751592357,10.911855790204315,99.6,3,1,0.2777777777777778,8.021794075955661,0
C00009,407,4,12539.56,4,1791.3657142857141,MK,1,0.0024509803921568627,9.436723470287102,97.66666666666667,2,1,0.42857142857142855,7.491291654345705,1
C00010,8,6,53615.09,5,2978.616111111111,MK,0,0.1111111111111111,10.889604488579085,137.8,4,1,0.2777777777777778,7.999549749426418,0
C00011,15,4,26612.97,5,2661.297,MK,0,0.0625,10.189191544876781,237.0,3,1,0.3,7.886944562979494,0
C00012,496,3,48996.35,5,4454.213636363636,ST,1,0.002012072434607646,10.799521493997647,96.5,3,1,0.36363636363636365,8.401830293045519,0
C00013,134,6,64357.42999999999,5,4290.495333333333,CYB,0,0.007407407407407408,11.072223206775218,82.8,3,1,0.3333333333333333,8.364390513736813,0
C00014,152,4,20125.190000000002,4,1829.5627272727274,TKO,1,0.006535947712418301,9.909777230973411,62.666666666666664,3,1,0.36363636363636365,7.512378699808577,0
C00015,530,3,52374.97,5,5237.497,TKO,1,0.0018832391713747645,10.866203177339337,94.0,2,1,0.3,8.563789904109836,0
C00016,141,3,78671.43000000001,5,6555.9525,TKO,0,0.007042253521126761,11.273048055367921,102.5,1,1,0.4166666666666667,8.78828121607084,0
C00017,35,5,46625.61,5,4238.691818181818,MK,0,0.027777777777777776,10.749926687181041,84.75,4,1,0.2727272727272727,8.352245861193284,0
C00018,46,9,133008.0,5,5542.0,TKO,0,0.02127659574468085,11.798172074087368,69.625,3,1,0.4166666666666667,8.620291149419804,0
C00019,228,8,137817.84,5,5742.41,MK,0,0.004366812227074236,11.833695348100273,61.42857142857143,4,1,0.4583333333333333,8.655808389574986,0
C00020,191,3,35388.549999999996,5,3538.8549999999996,CYB,1,0.005208333333333333,10.474171857802324,267.0,3,1,0.3,8.17184104483694,0
C00021,36,8,133439.84,5,5132.301538461538,TKO,0,0.02702702702702703,11.80141351253679,71.0,4,1,0.3076923076923077,8.543504305908236,0
